index,review_title,rating
219,Great choice to stay near Mons!,10
220,Exceptional,10
221,Very good,8
222,Exceptional,10
223,Fine and well located,9.6
224,Exceptional,9.6
225,Superb,9
226,"A very pleasant, quiet and comfortable spot with nice flourishes. Recommended!",10
227,Disappointing,4.6
228,A very enjoyable stay and hotel close to the city centre,7
229,Exceptional,9.6
230,Not card-payment and unclear checking timing,5.8
231,Pleasant,6.3
232,Exceptional,9.6
233,friendly and convenient,7.9
234,A cosy hotel in a quiet town in Walonia.,9.6
235,Very good,8
236,Delightful stay in a lovely city.,10
237,Passable,5.4
238,Very good,8.3
239,great location,8.8
240,Exceptional,10
241,Good hotel,9.6
242,We didn't have a chance to go to the restaurant at the hotel but as far as we could see it looks really nice.,
243,Superb,9.2
244,"Great, recently renovated hotel",9
245,AVOID,3.8
246,Good,7.5
247,Very good,8
248,"Pleasant stay in the heart of the Jourdan quarter, spacious apartment with everything you need!!",9.5
249,Superb,9
250,Exceptional,10
251,Not for holiday but only for a short low budget stay.,8
252,"The owner Christine was extremely helpful & thoughtful, she had baked some Belgian biscuits and left",10
253,Strongly recommended,9
254,Exceptional,10
255,Exceptional,10
256,excellent,8
257,Superb,9
258,Guest room in Brussels,8.3
259,Good,7.1
260,Very good,8.3
261,Great,10
262,Exceptional,9.6
263,Exceptional,9.6
264,A one night business stay.,8
265,Exceptional,10
266,Superb,9
267,Very nice stay with friends at Villa Anna.,10
268,Very good,8
269,Very good,8
270,Exceptional,10
271,It is a real diy house a bath taps in the shower,6.3
272,Superb,9.2
273,Absolutely lovely Japanese room - minimalistic but lots of authentic details,8.8
274,good experience,8
275,Exceptional,9.6
276,A lovely gite in old farm buildings just outside Namur.,10
277,Exceptional,10
278,Superb,9
279,Very good,8
280,Exceptional,9.6
281,Disappointing,4.6
282,Exceptional,10
283,Excellent Apparthotel on the edge of the City Centre,10
284,Very good,8
285,Pleasant,6.7
286,Exceptional,10
287,I would advise this property to anybody!,9.6
288,Very good,8.3
289,Good location and good bread at breakfast,7.5
290,Lovely hotel in a lovely city.,10
291,Very good,8.5
292,Exceptional,10
293,Exceptional,10
294,Superb,9
295,Very good,8
296,"Yer, id stay here again if I had too.",8
297,Superb,9
298,Exceptional,10
299,"Nice hotel, value for money",7.1
300,Fabulous,8.8
301,Comfortable and well appointed room with a great breakfast.,10
302,Not very good.,3.3
303,good functional hotel friendly staff comfort rooms nice restaurant good for lunches and evening meal,9
304,Superb,9
305,Fabulous,8.8
306,Superb,9.2
307,"Beautiful place, would love to come back again!",9.6
308,Modern B&b with great view,10
309,Exceptional,10
310,Very good,8.3
311,Exceptional,10
312,Nice hotel for visiting the harbour area,6.7
313,Exceptional,10
314,Exceptional,10
315,The View Bis is a relaxing comfortable B&B with excellent hosts.,9.6
316,Superb,9.2
317,The hotel location is excellent. Disapointed that we could not have the accommodation we had booked,7.5
318,Okay,5.8
319,Good as usual,7.9
320,"Great, spacious, quirky cottage close to Brugges. Lovely garden and friendly hosts!",10
321,Exceptional,10
322,Wonderful!!!!,10
323,Exceptional,9.6
324,Exceptional,9.6
325,"You get what you pay for. Good location and afforable rate, but facilities are not topnotch",7
326,Superb,9.2
327,Our stay was made by our excellent hosts who were most obliging and helpful.,10
328,Exceptional,9.6
329,we searched for a place to cycle with our club,8.8
330,for one night it was sufficient place to meet my requirements.,7.9
331,Good,7
332,Much better than 5 star hotels,10
333,Exceptional,9.6
334,Excellent,9.6
335,Super i will book the Hotel again soon,7.5
336,Exceptional,10
337,I really enjoyed my stay,9.6
338,Exceptional,10
339,Exceptional,10
340,Excellent,9.6
341,"Nice, spacious and warm",9
342,Convenient welcoming and a place to be,10
343,Exceptional,10
344,Exceptional,9.6
345,Fabulous,8.8
346,Exceptional,10
347,"Stay here, you will love it!",10
348,Superb,9
349,Very clean and fine place but noisy,7.5
350,Perfect location to explore Ghent Christmas Market,7.9
351,Good,7.9
352,Very good value for money. The breakfast is worth the extra payment!,9.2
353,Excellent,9
354,Pleasant,6.7
355,Superb,9
356,Exceptional,9.6
357,Traveler’s rare find,10
358,Superb,9
359,The correct place to stay when exploring the city!,7.9
360,"Love, Tranquility,History",10
361,"lovely hotel, a little out of the main city",8.8
362,good experience,8.3
363,Very difficult to find. No air-con. But otherwise it was fine with helpful staff.,6.7
364,Exceptional,9.6
365,Superb,9.2
366,Amazing place,10
367,Nice house.  Very clean.,8
368,A nice stay,8
369,"Very friendly couple that offer this fantastic rooms for rent. Great breakfast, great location",10
370,Good,7.1
371,Perfect winter weekend break,10
372,Great stay overall.,10
373,Very good,8.3
374,Good,7.9
375,Superb,9.2
376,Very good,8
377,Lovely stay in a wonderful part of Belgium,9.6
378,Perfect!,9
379,Exceptional,9.6
380,Great location in city center,9.6
381,"Amazing B&B, relaxed stay and incredibly friendly owners!",10
382,Superb,9.2
383,"Perfectly adequate, met out expectations, and helped by friendly people.",8.3
384,Very good,8.3
385,Authentic place to spend the night in the Ardennes,9.6
386,Okay,5.8
387,Exceptional,10
388,Really helpful and nice,10
389,Superb,9
390,Nice hotel,8.8
391,Exceptional,9.6
392,Very poor,1
393,Superb,9.2
394,Lovely stop over on our way to Center Parcs Erperheide. Will visit again.,9.6
395,Good,7.1
396,Exceptional,10
397,Exceptional,10
398,Does the job,7
399,Exceptional,10
400,You should totally stay here!,10
401,Superb,9
402,Superb,9.2
403,Superb,9.2
404,Just what we needed for our trip to take part in the Tour of Flanders sportif. Thanks very much,9.2
405,Good,7.1
406,Good,7.5
407,"Excellent stay, would book it again straight away!",10
408,Becoming a Regular guest,10
409,Good,8
410,Exceptional,10
411,A labour of love.,9.2
412,Exceptional,10
413,Exceptional,9.6
414,Superb,9.2
415,Exceptional,10
416,The Staff made our stay pleasant,7.5
417,Clean and comfortable apartment,9.2
418,Quiet and good value stay,7
419,Exceptional,10
420,Exceptional,9.6
421,Superb,9.2
422,"The best possible location in Ghent, great hotel",9.6
423,A lovely place to stay,9.6
424,Fine for work,6.3
425,Good,7.1
426,Enjoyable stay,10
427,"Great spot, would recommend.",8
428,A takeaway breakfast was catered for although nothing too fancy.,
429,Exceptional,10
