index,review_title,rating
4982,"Great location, if all you need is a basic place to sleep",6.7
4983,the location of the hotel is perfect.,8
4984,Exceptional,10
4985,Lovely,8.8
4986,Very good,8.3
4987,Good,7.5
4988,Good,7
4989,Very relaxing experiences,10
4990,Exceptional,10
4991,Very poor,2
4992,Exceptional,10
4993,Exceptional,10
4994,Exceptional,10
4995,Good,7.9
4996,Very good,8.3
4997,Exceptional,10
4998,Good,7.9
4999,Exceptional,10
5000,Good,7.5
5001,Superb,9
5002,Exceptional,10
5003,"The hosts were great. The place was quaint, clean, wonderful towel warmers and it was areat location",10
5004,Superb,9
5005,Exceptional,10
5006,A very nice and pleasant place,9
5007,Very good,8
5008,Pleasant,6.7
5009,Excellent position!!,9
5010,Very good,8
5011,Nice stay,8.8
5012,Exceptional,10
5013,Good,7.5
5014,Exceptional,10
5015,Fantastic,10
5016,Perfect place to reside whilst visiting this beautiful place.,10
5017,Exceptional,10
5018,Exceptional,9.6
5019,Aanrader !!!!,9
5020,Superb,9
5021,Good,7.1
5022,Good,7.1
5023,Very good,8
5024,Very good,8.3
5025,Fabulous,8.8
5026,Superb,9.2
5027,Exceptional,10
5028,Great stay.,10
5029,Very nice place to stay,9.2
5030,Passable,5
5031,Superb,9.2
5032,Very good,8
5033,Superb,9
5034,Good,7.1
5035,Difficult to find but everything else was excellent.,8
5036,Exceptional,9.6
5037,-,9.6
5038,Superb,9.2
5039,Good,7.1
5040,Fabulous,8.8
5041,Lovely place to stay in fantastic location,10
5042,Fabulous,8.8
5043,Exceptional,10
5044,Exceptional,10
5045,"Delightful, beyond our expectations!!",10
5046,Exceptional,10
5047,Passable,5.4
5048,"a good location, but if possible do not take the ground floor room",7
5049,Superb,9
5050,Exceptional,10
5051,Good,7.9
5052,Fabulous,8.8
5053,Good,7
5054,Great location to discover Ypres and surrounds,10
5055,Exceptional,9.6
5056,Very good,8.3
5057,Exceptional,10
5058,Good,7.9
5059,Very good value :-),9
5060,you can save money if you have earplugs. Otherwise forget about it.,6.3
5061,Very good,8.3
5062,Superb,9.2
5063,Exceptional,10
5064,Good,7.1
5065,Very good,8.3
5066,Good,7.5
5067,Exceptional,10
5068,Exceptional,10
5069,Passable,5
5070,Exceptional,10
5071,Pleasant Surprise!,10
5072,A Gasp of Freedom from Brussels without breaking the health and safety rules.,9
5073,Very budget room with personal bathroom just near the Parliament,6.7
5074,Comfortable stay in a hotel ideal for short city-breaks.,8
5075,Superb,9.2
5076,"Best Hostel ! Modern, Clean, Safe and Breakfast",9.6
5077,Fabulous,8.8
5078,Good,7.5
5079,Exceptional,10
5080,"A quiet, pleasant stay on the edge of the town centre",9.2
5081,Very good,8.3
5082,Exceptional,10
5083,Reliable top hotel and restaurant,8.8
5084,Fine restaurant,
5085,Double payment (through booking.com and checkout) was remarked and corrected within an hour.,
5086,Superb,9
5087,Good,7.9
5088,In the heart of Brussels,9
5089,Good,7.9
5090,Exceptional,10
5091,Good,7.5
5092,Very good,8.3
5093,Exceptional,10
5094,Excellent B&B,9.6
5095,Very good,8.3
5096,Exceptional,10
5097,Superb,9.2
5098,Superb,9
5099,Good,7.5
5100,very good with some improvement to put in place.,7
5101,Exceptional,10
5102,Good,7.9
5103,Exceptional,9.6
5104,ypres is a lovely town very historic and chocolate laden great resturants i recomend you stay here,9.2
5105,"Super comfy bed, welcoming staff!",10
5106,Exceptional,10
5107,Exceptional,10
5108,Very good,8
5109,"Could be nice with a bit of investment, sadly it hasn't had it for a while.",6.3
5110,Very good,8
5111,Exceptional,10
5112,Superb,9.2
5113,Exceptional,10
5114,Superb,9.2
5115,A beautiful hotel set right in the middle of a beautiful town.,10
5116,very... functional hotel,6.3
5117,Exceptional,10
5118,Very good,8.3
5119,Exceptional,9.6
5120,Good,7.9
5121,Exceptional,10
5122,Excellent for a weekend in Ieper,10
5123,okay for one night,6.3
5124,Exceptional,9.6
5125,Fabulous,8.8
5126,Exceptional,10
5127,Good,7.5
5128,I'd even advise a detour to come here,10
5129,Excellent week-end...,9
5130,"Nice staff but no tea/coffee sachets (only sugar) for the kettle, not clean, NO HOT WATER!",6.7
5131,Exceptional,10
5132,Exceptional,10
5133,Exceptional,10
5134,Exceptional,10
5135,A lovely hotel in a pretty French town.,9.6
5136,Fantastic,10
5137,Good,7.5
5138,Exceptional,10
5139,Weekend away,10
5140,Excellent hotel located in a wonderful village with everything you need within an easy walk.,9.2
5141,Ideal for a mini break in a great location.,8
5142,Good,7.1
5143,Exceptional,10
5144,Good,7.5
5145,Nice apartment,10
5146,Perfect place for a reasonable price,10
5147,"Okay for a night, the cheapest place we found.",6
5148,pleasant stay in Liège,7
5149,Very good,8
5150,Good,7.9
5151,Exceptional,10
5152,Great place for a weeekend getaway,8
5153,Okay,6
5154,A great place where to relax during the pandemic.,7
5155,Fabulous,8.8
5156,Very good,8
5157,Good,7
5158,"Great value for money b&b with a fantastic breakfast & comfy beds, in an elegant former warehouse.",9
5159,Excellent stay in La-Roche-en-Ardenne,10
5160,Very good,8.3
5161,Superb,9
5162,We stayed at the hotel for three nights. It was very enjoyable with no complaints.,7.9
5163,Very good,8
5164,Nice place,8
5165,My Stay,8.3
5166,Superb,9
5167,Superb,9.2
5168,"Great place, great food, great people!",9
5169,Superb,9
5170,"Comfortable room, good breakfast",9.2
5171,Superb,9
5172,In cool weather....,7.9
5173,Good,7
5174,High price For not that much.,6.7
5175,I don't think there's a better location in Brussels,9
5176,Amazing!,10
5177,Exceptional,10
5178,Lovely apartment. Great for relaxing.,9
5179,Exceptional,9.6
5180,Superb,9
5181,Loved the atmosphere!,9.2
5182,"Great location, helpful staff",8
5183,Pleasant,6.7
5184,Very good,8
5185,Exceptional,9.6
5186,we willcome back if we go to Brugge again,10
5187,"Really enjoyable stay in a central, well looked-after apartment",10
5188,Exceptional,10
5189,Superb,9.2
5190,Nice hostel close to historic centre,8
5191,Exceptional,10
5192,Okay,6
5193,Fabulous,8.8
5194,Good,7.1
5195,Exceptional,9.5
5196,"Amazing, interesting, friendly and cosy place owned by a customer dedicated Guy. Congrats.",9
5197,Good,7.5
5198,Superb,9
5199,Fabulous,8.8
5200,Exceptional,10
5201,Very good,8
5202,The most clean and comfortable hostel.,9.2
5203,Excellent,10
5204,Exceptional,9.6
5205,Modern and new hostel with good location,9
5206,Exceptional,9.6
5207,Good,7
5208,Good,7.1
5209,Good,7.9
5210,Exceptional,9.6
5211,Exceptional,10
5212,Exceptional,10
5213,Exceptional,10
5214,"Nice hotel, very clean, the staff are very friendly, breakfast is good, public transport is nearby",9.6
5215,great!,9
5216,Exceptional,9.6
5217,"Perfect location, friendly staff, wonderful restaurant.",8
5218,An excellent all round stay with no issues.,10
5219,Superb,9
5220,A very relaxed atmosphere nothing was too much trouble,10
5221,Pleasant. I'd recommend it and come back in future ocassions.,8
5222,Pleasant,6.7
5223,"Clean nice hotel, not reachable by car / taxi you need 4m walk",7.9
5224,Exceptional,10
5225,Best weekend,10
5226,Superb,9.2
5227,Very good.,8
5228,Superb,9.2
5229,Perfect location literally 5mins from market and city center. Very good breakfast and comfy bedroom.,10
5230,Fantastic for European Parliament,8.3
5231,Lovely stay nearby Lissewege and Belgian coast,9
5232,Exceptional,10
5233,Fine for the price.  Checking out failed due to internet access not availble.   I understand they wi,8
5234,Exceptional,9.6
5235,Good,7
5236,An absolute highlight of our 4 week holiday AND the perfect place to stay in beautiful Brugge!,10
5237,Good stay for one night,7
5238,big and spacious,10
5239,Good,7.9
5240,Exceptional,10
5241,Superb,9.2
5242,We would use it again!,6
5243,Thank you but no thank you.,6.7
5244,Good,7.5
5245,Excelent,10
5246,Exceptional,10
5247,Glad it was only one night.,3.3
5248,Exceptional,10
5249,Fabulous,8.8
5250,Fabulous,8.8
5251,Exceptional,10
5252,perfect for young people and those feeling young,8
5253,Exceptional,10
5254,Very good,8
5255,Absolutely recommend!!!,10
5256,Very good,8.3
5257,Very good,8
5258,Superb,9
5259,Rude and stingy owner of a studio without a toilet door!!!,4.2
5260,Very good,8
5261,Great weekend in Namur,10
5262,Great Little Seaside Place,7.9
5263,Fabulous,8.8
5264,Superb,9
5265,Exceptional,9.6
5266,Exceptional,10
5267,Super B&B Pronkenburg,10
5268,"The best hostel I've visited, very nice and clean, great design, great kitchen",10
5269,Superb,9
5270,Good,7.9
5271,Recommended,8
5272,Good,7.9
5273,Pleasant,6
5274,Exceptional,10
5275,Good,7.1
5276,Exceptional,10
5277,Very good,8
5278,Good,7.5
5279,Superb,9
5280,Wonderful stay in your own apartment within a family home.,9.6
5281,Beautifull house with friendly hosts.,9.2
5282,Fabulous,8.8
5283,Excellent!,10
5284,Great hotel in historic Bruges,9.6
5285,Very good,8.3
5286,Good stay,8.3
5287,"Nothing extraordinary, great breakfast but awful showers",8.8
5288,Super hotel,9.6
5289,Exceptional,10
5290,Superb,9
5291,Lots of fun for four women staying in one of the family rooms.,10
5292,Pleasant,6.7
5293,Perfect location,6
5294,nice hotel in the center,8.8
5295,Exceptional,10
5296,Exceptional,10
5297,Good,7.5
5298,Very good,8
5299,Exceptional,10
5300,The house is in the immediate vicinity of the beach.,8.3
5301,Good,7.5
5302,Fantastic value for money!,10
5303,Exceptional,10
5304,Very disappointing,4.2
5305,Superb,9.2
5306,Exceptional,10
5307,Great hotel 👏,9.6
5308,Exceptional,9.6
5309,Exceptional,9.6
5310,Good,7.9
5311,Very good,8
5312,Excellent,10
5313,The location and staff and convenience etc. make it a fine place to stay in Brussels.,9.2
5314,Exceptional,10
5315,Exceptional,10
5316,Great facilities and lovely host. If the beds had been better we would give this a perfect score.,9.2
5317,Exceptional,10
5318,Lovely overnight stay - wish I could have stayed longer,9.6
5319,Exceptional,10
5320,Exceptional,10
5321,Superb,9.2
5322,Tatty hotel needs complete renovation. Avoid!,3.3
5323,My beautiful fiancée‘s birthday,10
5324,Exceptional,10
5325,Really excellent all round; we'll tell our friends and come again!,9
5326,Exceptional,10
5327,Very good,8
5328,Very good,8.3
5329,Good,7.9
5330,Very good,8
5331,Lovely hotel in a fantastic location.,9.6
5332,Exceptional,10
5333,Superb,9
5334,Very good,8.3
5335,Exceptional,9.6
5336,Very good,8.3
5337,also the showers were not the most user friendly..,
5338,Exceptional,10
5339,Superb,9
5340,Very good,8.3
5341,Good.,9.6
5342,perfect   romantic stay  and interesing and welcoming hosts/,10
5343,Amazing experience,9.2
5344,Exceptional,10
5345,Fabulous,8.8
5346,Superb,9
5347,Good hotel great location.,8.3
5348,Very good,8.3
5349,Fabulous,8.8
5350,Fabulous,8.8
5351,Thank you very much guys - we had a wonderful time.,
5352,Absolutely recommend them,
5353,Superb,9.2
5354,Comfortable stay and kind host with warmth and passion.,9
5355,Exceptional,10
5356,Beautiful Accommodation,9.6
5357,Bait and Switch,1
5358,Fabulous,8.8
5359,A little gem in a quiet village.,9.6
5360,Good,7.9
5361,Good!,9.6
5362,Great and unique place to stay!,10
5363,Exceptional,10
5364,Exceptional,10
5365,Exceptional,10
5366,Very good,8
5367,Exceptional,9.6
5368,Good,7
5369,Good,7.5
5370,Good,7.5
5371,Exceptional,10
5372,A great place to stay if you are driving to Bruges.,10
5373,Superb,9
5374,A Gem,10
5375,Great experience,10
5376,Good,7.5
5377,Exceptional,10
5378,Very good,8.3
5379,Very good,8.3
5380,Romantic stay in Bruges,10
5381,Very good,8.3
5382,Exceptional,10
5383,Fabulous,8.8
5384,Good,7
5385,Exceptional,9.6
5386,Okay,5.8
5387,Good,7.9
5388,Comfortable accommodation in the heart of Brussels...,9.6
5389,Good,7.9
5390,Exceptional,10
5391,Superb,9
5392,Exceptional,10
5393,Just perfect!,10
5394,Good,7.9
5395,"All in all, an excellent place! We would definitely return.",10
5396,"Lovely hotel and staff, very helpful.",10
5397,Note for us if we stay in Brussel ...,8.8
5398,Exceptional,10
5399,Nice and fun option to stay :),8.8
5400,Exceeded all expectations.  We will return!,10
5401,Exceptional,9.6
5402,Superb,9
5403,Fabulous location to explore Bruges!,10
5404,Good,7
5405,Poor,3
5406,Good,7.9
5407,Superb,9.2
5408,Exceptional,10
5409,Exceptional,9.6
5410,Great stay and amazing staff,10
5411,Exceptional,10
5412,Would definitely recommend this place and if visiting in the Ardennes stay there again,9.2
5413,Exceptional,9.6
5414,Poor,3.3
5415,Very poor,2.9
5416,Exceptional,10
5417,Exceptional,10
5418,Exceptional,10
5419,Very good,8
5420,A relaxing and enjoyable city break in a perfect boutique hotel.,9.2
5421,Pleasant,6.7
5422,😂👍👍👍👍👍👍,10
5423,Fabulous,8.8
5424,Exceptional,10
5425,Very good,8.3
5426,big disapointment about this place.,5
5427,Good,7.5
5428,Superb,9.2
5429,Superb,9.2
5430,GOOD CHOICE!!!,9.6
5431,Poor,3.3
5432,Exceptional,9.6
5433,Fabulous,8.8
5434,Very good,8.3
5435,Good,7
5436,Loved it and will return and recommend to everyone visiting Bruges,10
5437,Very good,8.3
5438,Exceptional,9.5
5439,Good,7.9
5440,Exceptional,9.6
5441,Exceptional,10
5442,Pleasant,6.3
5443,Good,7.1
5444,Superb,9
5445,Exceptional,10
5446,For the price a good hotel well located  if only they had a lift,7
5447,Superb,9
5448,Comfortable place where you feel like at home,9.6
5449,Exceptional,9.6
5450,Exceptional,10
5451,Good,7
5452,Great location!,9.2
5453,Brugge is something you want to see :),7
5454,2 nights in Brussels,7.9
5455,Exceptional,10
5456,Exceptional,10
5457,Passable,5
5458,Exceptional,10
5459,Exceptional,10
5460,Exceptional,10
5461,Good,7.1
5462,Great place to stay,10
5463,Fabulous,8.8
5464,Very enjoyable,10
5465,Superb,9.2
5466,Nice place to stay,9
5467,Good,7.9
5468,"Anyway, you would spend all the time in the city and need this place only because it has a bed.",7.1
5469,Superb,9.2
5470,Exceptional,10
5471,Exceptional,10
5472,Pleasant,6.3
5473,Superb,9.2
5474,Superb,9.2
5475,Superb,9.4
5476,Good,7.5
5477,Pleasant,6.3
5478,Exceptional,10
5479,Exceptional,10
5480,Exceptional,10
5481,"Fine, but...",7
5482,Exceptional,10
5483,Great choice low-cost for staying in Brugge,8
5484,This is a great place for comfort and convenience. Value for money.,7.1
5485,Good,7.5
5486,Amazing! Would definitely return again. Definitely worth staying :),9.2
5487,Good,7
5488,Good,7.5
5489,Very good,8.3
5490,Good,7.9
5491,Exceptional,10
5492,recommended,9.2
5493,Enjoyed our stay in Ypres and would recommend it to others,8
5494,Exceptional,10
5495,Very good,8
5496,Great experience and great location,10
5497,Good,7.1
5498,Really amazing place to stay in Brussels.,9.2
5499,Very good,8
5500,Exceptional,10
5501,Exceptional,10
5502,"OK for one night, but a bit of maintenance would do wonders ..",6.7
5503,Very good,8
5504,Great hostel,9.6
5505,Exceptional,9.6
5506,Everything was perfect😊,10
5507,Exceptional,9.6
5508,"Excellent location, lovely hotel and staff!",10
5509,Exceptional,9.6
5510,Good,7.9
5511,Good,7.5
5512,Exceptional,10
5513,"Assez décevant, as they say in French.",5.4
5514,Exceptional,9.6
5515,Very good pricing and location! :),8.8
5516,Exceptional,10
5517,Exceptional,10
5518,Superb,9
5519,Fabulous,8.8
5520,Good,7.1
5521,Exceptional,10
5522,Exceptional,10
5523,Disappointing,4.2
5524,Exceptional,9.6
5525,Everything was good,10
5526,"Would stay here again, thoroughly recommended!",9
5527,Recommend for visiting Ypres,10
5528,Good,7.9
5529,Good,7.9
5530,Fabulous,8.8
5531,Exceptional,10
5532,Excellent,8.3
5533,Very good,8.3
5534,"Excellent location, and comfortable warm room. Loved looking outside onto the market square.",8
5535,Good,7.1
5536,Exceptional,10
5537,Superb,9.2
5538,Looks and feels like a pay-by-the-hour hotel,4.6
5539,Exceptional,9.6
5540,Very good,8
5541,Fabulous,8.8
5542,Good,7.5
5543,Perfect hotel in Bruges,10
5544,Good,7.5
5545,Exceptional,9.6
5546,Will be booking again!,10
5547,"Very nice stay, good comfort und very near to the sea, we like it !!!",10
5548,Exceptional,10
5549,Exceptional,9.6
5550,Fabulous,10
5551,Exceptional,9.6
5552,Great location,8.8
5553,"As we love good food and wines ourselves, this place is truly amazing and not far from Bruges too!",10
5554,Very comfortable apartment with a homely feel,9
5555,Relaxing and stress free short stay. Would use Arid again,9.6
5556,"Service to amenities, just exquisite!",10
5557,A perfect stay,10
5558,Good,7.9
5559,Very nice,8.3
5560,Exceptional,10
5561,Exceptional,10
5562,Superb,9.2
5563,Good,7.9
5564,Very good,8
5565,Walking and relax weekend away,9
5566,Good,7.1
5567,Quiet location short walk to town,9.6
5568,Exceptional,10
5569,Excellent stay...would definitely recommend. Nice and spacious main bedroom and living area,9
5570,Great hotel with excellent location,8.8
5571,Very good,8.3
5572,"As long as I stayed in here, I felt comfortable because it is quite close to city center",8.3
5573,Perfect place to stay for a race week,10
5574,It's a loud bar and the hostel is upstairs... It wasn't that clean... The bathroom has no locks,6.7
5575,Nice comfortable stay in the middle of greenary.,7.9
5576,Good,7.5
5577,best host I ever seen,10
5578,Good choice to explore the city,8.8
5579,Superb,9
5580,Very good,8
5581,Nice looking chalet on a calm spot near Spa circuit. Perfect location to relax and sleep well!,8.8
5582,Not too good.. not too bad....,7.5
5583,Fabulous,8.8
5584,Good,7.9
5585,Beautiful apartment with the friendliest host located in an amazing city.,10
5586,stay was very good everything around you,7.9
5587,Excellent and beautiful,10
5588,Exceptional,9.6
5589,Superb,9
5590,Very comfortable.,9.6
5591,Fabulous,8.8
5592,wonderful...,9.2
5593,Very convenient location- short walking distance to Grand Place - restaurants and shopping areas,9.6
5594,Exceptional,10
5595,"Amazing location, fair price",8.3
5596,Exceptional,9.6
5597,"Nice hotel, great location.",9
5598,Exceptional,10
5599,Good,7.1
5600,Superb,9.2
5601,Exceptional,10
5602,Good,9.2
5603,Beautiful and close to the track,10
5604,Not really a hostel,7.1
5605,Loved it. Easy to get to Ostend and Brugge. A great base to explore from,10
5606,Exceptional,10
5607,"Excellent flat, beautiful place ,  super location in central Antwerp",10
5608,Great little hotel in a fantastic spot,9.2
5609,Fabulous,8.8
5610,Exceptional,10
5611,Perfect comfort in a family atmosphere.,9.6
5612,Okay,5.8
5613,Superb,9.2
5614,Exceptional,10
5615,Exceptional,9.6
5616,A great place and location to visit for a short break away from a high tech world.,10
5617,Pleasant,6.7
5618,Nice relaxing stay 15 minutes away from Bruges.,9.2
5619,Exceptional,10
5620,Exceptional,10
5621,Good,7.9
5622,Superb,9.2
5623,Superb,9
5624,Very good value for money. A bit dated but charming house.,8
5625,A very good visit. We were in town to attend the Last Post and we did attend and it was inspiring.,10
5626,Pleasant,6
5627,Okay,5.8
5628,Recommendable for budget traveler,7.5
5629,Exceptional,10
5630,Dissapointed.. I don't feel safe despite the great facilities and good location.,8.3
5631,Perfect place,10
5632,Good,7.1
5633,Exceptional,9.6
5634,Exceptional,10
5635,A little bit of Antwerp,10
5636,A good long weekend in Brussels,8.8
5637,Cozy hotel that is close to the city center,9.2
5638,Exceptional,9.6
5639,Amazing welcome,10
5640,Good place poor reception staff,7.5
5641,Superb,9
5642,Okay,5.8
5643,Exceptional,10
5644,Exceptional,9.6
5645,Good,7.9
5646,"This place is great, sleeps 4 and probably 5 for a very reasonable price",8.8
5647,Good,7.1
5648,Very good,8.3
5649,Superb,9.2
5650,Perfect!,10
5651,Good,7.9
5652,Good,7.5
5653,"Good place, near EU Commission with helpful staff",9
5654,Charming,10
5655,Superb,9.2
5656,Fantastic B&B,10
5657,Superb,9
5658,Very pleasant hotel in excellent location,10
5659,Superb,9
5660,Pleasant,6.7
5661,Quite trip to Bruges,7.9
5662,Good,7.9
5663,Exceptional,9.6
5664,Great location disappointing service,5.8
5665,Good,7.5
5666,Perfect!,9.2
5667,Superb,9.2
5668,Great apartment in great location with great host.  What more do you need?,10
5669,Superb,9.2
5670,Short cycling break in Kerkhoven,7.9
5671,Superb,9
5672,Perfect !!,10
5673,Enjoyed every minute,10
5674,GREAT,10
5675,Superb,9
5676,"Such a nice place I can't wait to go back, awesome, friendly and extremely clean",10
5677,Superb,9
5678,Pleasant,6.7
5679,Exceptional,10
5680,Good,7.1
5681,"Overall, I am satisfied with the hotel.",8.3
5682,"The Chalet is a cosy house in a really calm area, a perfect holiday home. Awesome host as well!",10
5683,"Great location, good choice for 1-2 nights",7.5
5684,A great short break at a lovely location.,10
5685,Good,7.9
5686,Exceptional,10
5687,Good,7.9
5688,Good,7.1
5689,Great and stylish hotel in the European quarter of Brussels,10
5690,Exceptional,10
5691,Superb,9.2
5692,Superb,9.2
5693,Amazing residence,10
5694,"Recently refurbished, Comfortable well situated to discover Ypres & it's restaurants the Museum, etc",9.6
5695,Superb,9
5696,Passable,5
5697,Good,7.5
5698,Exceptional,10
5699,Good Hostel,7.5
5700,"Excellent location, very nice chalet, perfect host. Super for family holidays!",10
5701,Good,7.9
5702,Fabulous,8.8
5703,Exceptional,10
5704,Excellent Apartment,10
5705,Interesting...we enjoyed the sites of Brussels...the hotel was clean..just not exceptional for senio,7.9
5706,Pleasant,6.3
5707,Exceptional,10
5708,Fantastic:),10
5709,Magical!,10
5710,Exceptional,10
5711,"HOMELY, CREATIVE ACCOMMODATION WITH WARM WELCOME",10
5712,Perfect in every way!,10
5713,Superb,9
5714,Superb,9.2
5715,Exceptional,10
5716,Superb,9.2
5717,Good,7.9
5718,Exceptional,10
5719,Good stay overall.,8.8
5720,Pleasant,6.7
5721,Good,7.9
5722,Apartment is very clean and comfortable.,10
5723,We loved our stay in Brussels!!,9.6
5724,Good,7.1
5725,Very good,8
5726,Great Stay,9
5727,Gorgeous and comfortable,10
5728,Exceptional,10
5729,Exceptional,10
5730,Superb,9
5731,Passable,5
5732,Good,7.5
5733,Good,7.5
5734,Comfy and enjoyable,9.6
5735,Superb,9.2
5736,Good,7.9
5737,Good,7.1
5738,Fabulous,8.8
5739,Exceptional,10
5740,Overall great value for money.,9.6
5741,The food in the restaurant was very good. Hotel totally outdated and needs a lot of renovation.,2
5742,Great stay in EU area in Brussels,10
5743,Exceptional,10
5744,Exceptional,10
5745,Exceptional,10
5746,"Great hotel, excellent location, very friendly staff. Great value for money. Would recommend .",10
5747,Superb,9
5748,Great place but not everyone working there are willing to help.,9.6
5749,Good,7.5
5750,Cool option.,9.6
5751,Exceptional,10
5752,Good,7.9
5753,"Beautiful surroundings, welcoming hosts.",7.9
5754,Exceptional,10
5755,Superb,9.2
5756,Very good,8.3
5757,Pleasant,6
5758,"Good position, cozy, comfortable room",8
5759,Flawless.,10
5760,Wonderful hotel in a beautiful city,10
5761,Very good,8.3
5762,Exceptional,10
5763,Superb,9
5764,Exceptional,9.6
5765,Good,7.5
5766,Superb,9
5767,The chalet was a lovely place to stay and it's location was perfect.,9.6
5768,"Nice stay, good hostel.",7.1
5769,Very good,8.3
5770,Superb,9.2
5771,Exceptional,10
5772,Good,7.1
5773,Superb,9.2
5774,Superb,9
5775,A lovely place near to local attractions. A cool vibe with retro interiors and delicious breakfasts,9
5776,"Fabulous stay in a clean,beautiful hotel in a quiet location",10
5777,Exceptional,9.6
5778,Exceptional,10
5779,Exceptional,10
5780,Clean and nice place for a big company,9.2
5781,Fabulous,8.8
5782,Very good,8.3
5783,Exceptional,10
5784,Good,7.1
5785,Exceptional,10
5786,Superb,9.2
5787,"Arthur is an excellent host, very welcoming and the apartment was delightful.",10
5788,Highly recommended! The best location in Brussels.,9.6
5789,Exceptional,10
5790,"Returning customer, fantastic service !",9
5791,Brilliant hosts and a lovely clean and convenient place to stay. Would visit again.,9
5792,Great value boutique hotel,8.3
5793,"Clean, welcoming, great location",8.8
5794,Exceptional,10
5795,Exceptional,9.6
5796,Fabulous,8.8
5797,Exceptional,9.6
5798,Hostel Life,9.2
5799,Very good,8.3
5800,Fabulous,8.8
5801,Exceptional,10
5802,Exceptional,10
5803,"Super location,  medium facility",7.1
5804,No Taxis,4.2
5805,"Overall fantastic experience, great location with everything you need close at a great price",9
5806,"Very friendly hosts, cozy and clean room and nice breakfast. Clear recommendation!",10
5807,Pleasant stay central located hotel with excellent friendly staff,8.3
5808,Superb,9.2
5809,Fabulous,8.8
5810,Superb,9.2
5811,Exceptional,10
5812,Exceptional,10
5813,Nice place,8.8
5814,Good,7.5
5815,Very good,8.3
5816,Superb,9.2
5817,Very nice stay,8.8
5818,Exceptional,10
5819,"Excellent, modern, clean hotel with a perfect location",10
5820,Romantic get away in Bruges.,10
5821,Very good,8.3
5822,Fabulous,8.8
5823,Exceptional,10
5824,everybody was satisfied,10
5825,Exceptional,10
5826,Good,7.5
5827,Good choice for budget travelers,7
5828,"For travelers like me for sure a luxurious option, great value.",8.3
5829,Exceptional,10
5830,Good,7.1
5831,Exceptional,9.6
5832,"A lovely hotel, great food in a beautiful location",7.1
5833,Very good,8
5834,We really can't recommend this place enough. Superb.,10
5835,Clean and comfortable hotel for a citytrip,9.2
5836,"Cosy, pretty, clean, quiet.",10
5837,A trip to Ypres,9.6
5838,Exceptional,10
5839,Very good,8.3
5840,Exceptional,10
5841,Good Budget Hostel,7.5
5842,Perfect location,7.9
5843,Exceptional,10
5844,Very good,8.3
5845,Superb,9.2
5846,Good,7.9
5847,Good,8
5848,Exceptional,10
5849,"Great Hotel, great location",9.2
5850,Exceptional,9.6
5851,Great Hotel in Perfect Location,8.8
5852,Very good,8
5853,Exceptional,10
5854,Location was brilliant and the hostel was very comfortable.,
5855,Exceptional,10
5856,Fabulous,8.8
5857,Fabulous,8.8
5858,Exceptional,10
5859,Good,7.1
5860,Good,7.1
5861,Nice place,8
5862,Hidden gem,10
5863,Exceptional,10
5864,Very recommended place to stay!,9.6
5865,Brilliant hotel in a great location.,10
5866,Pleasant,6
5867,very nice atmosphere.  close to the main square. good beers,7.9
5868,Fabulous,8.8
5869,Nice hostel near central station,9.6
5870,Good,7.1
5871,Superb,9.2
5872,Exceptional,10
5873,Exceptional,10
5874,Exceptional,10
5875,Exceptional,10
5876,nice location and good value for money,8.3
5877,"Great location, friendly staff and very comfortable.",9.6
5878,Passable,5.4
5879,Superb,9.2
5880,Exceptional,10
5881,Very good,8.3
5882,Very good,8.3
5883,Exceptional,10
5884,Superb,9.2
5885,"Cosy, clean, central",10
5886,"Phenomenal , cannnot wait to back in summer to this most beautiful city and the hosts !",10
5887,A fabulous individual hotel for a very reasonable price.,10
5888,"Lovely host, beautiful room, bus stop right away, very good facilities.",10
5889,Superb,9.2
5890,Amazing place,10
5891,Exceptional,10
5892,Clean and good location,7.5
5893,Terrible bed,6.7
5894,too expensive hotel but comfortable,8.8
5895,Exceptional,10
5896,Would definitely return!,9
5897,Charm in Bruges,10
5898,"Fantastic staff, great design, excellent location.",8.8
5899,Super good stay!,9.6
5900,"This is a good place for a visit to Ieper, a lovely chracteristic Southwest Flanders city.",8.8
5901,Value for money,8.3
5902,Good,7.5
5903,Good value for that price,7.5
5904,Good,7.1
5905,Superb,9.2
5906,Very helpful staff,10
5907,Exceptional,10
5908,The magnificent room!!!,
5909,The location!!!,
5910,Superb,9.2
5911,great place for a short stay,9.6
5912,Exceptional,10
5913,Best hostel I've ever stayed in.,10
5914,Superb,9.2
5915,Exceptional,10
5916,Exceptional,10
5917,Exceptional,9.6
5918,Most enjoyable stay,9.2
5919,Exceptional,10
5920,Lovely hotel,10
5921,Good place closes to central plaza.,9.6
5922,Fabulous,8.8
5923,Superb,9
5924,Exceptional,10
5925,"Beautiful hotel, nice staff and fantastic location.",8.8
5926,Great value for money,9.2
5927,Ypres- Hotel Regina- Just Wonderful,10
5928,"Good value, bathrooms need to be cleaned more often",7.5
5929,Very good,8.3
5930,Très bien,9
5931,Excellent value. Great accessible and quiet location. Wonderful hosts.,10
5932,"Excellent place for the price, fabulous host.",9.2
5933,Superb,10
5934,"I would definetily choose this hostel again, perfect for travelers.",10
5935,Exceptional,10
5936,Next to perfect!,9
5937,"Wonderful, authentic stay!",10
5938,Good,7.9
5939,Superb,9
